like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
-14.79,0.3545,0.69,0.4934,0.02301,20.52,0.957,0.0282,0.000757,1.98e-05,5.4e-07,0.0,0.0,0.0,0.0,0.001299,0.2668,2.73,5.043,1.0
-28.23,0.327,0.6323,0.4094,0.02945,24.14,1.783,0.0786,0.00312,0.00011975,4.53e-06,2e-07,0.0,0.0,0.0,3.976e-05,0.02711,0.699,2.785,2.0
-20.0,0.361,0.543,0.4966,0.02763,21.56,0.5386,0.007214,8.46e-05,9.5e-07,0.0,0.0,0.0,0.0,0.0,8.59e-05,0.08594,1.89,4.703,3.0
-40.9,0.425,0.5464,0.407,0.001863,33.7,9.1,1.324,0.169,0.02063,0.002474,0.0002942,0.0,0.0,0.0,0.0,5.75e-05,0.01314,0.344,4.0
-39.66,0.4724,0.5825,0.3762,0.02246,27.03,12.805,3.424,0.8115,0.185,0.04153,0.00927,0.0,0.0,0.0,0.0,1.5e-06,0.0004003,0.01407,0.0
-23.78,0.3057,0.672,0.4417,0.001474,21.14,0.774,0.0176,0.000363,7.3e-06,1e-07,0.0,0.0,0.0,6e-08,0.003778,0.7554,6.945,11.01,1.0
-39.75,0.4207,0.6655,0.3083,0.02509,23.86,13.88,4.99,1.625,0.5137,0.1606,0.05005,0.0,0.0,0.0,0.0,2.1e-06,0.0003211,0.00837,2.0
-32.75,0.412,0.543,0.4966,0.02408,27.56,1.934,0.0727,0.00239,7.52e-05,2.3e-06,6e-08,0.0,0.0,0.0,2e-06,0.00576,0.3557,2.482,3.0
-23.44,0.3027,0.648,0.4744,0.007717,16.23,0.2542,0.002415,2.074e-05,2e-07,0.0,0.0,0.0,0.0,2.4e-07,0.01619,1.892,9.05,6.99,4.0
-39.66,0.4724,0.5825,0.3762,0.02246,27.03,12.805,3.424,0.8115,0.185,0.04153,0.00927,0.0,0.0,0.0,0.0,1.5e-06,0.0004003,0.01407,0.0
-35.2,0.4805,0.626,0.4934,0.02962,27.45,5.535,0.6616,0.0711,0.007378,0.000756,7.707e-05,0.0,0.0,0.0,2.4e-07,0.0005326,0.0397,0.448,1.0
-32.28,0.327,0.592,0.3909,0.02208,27.1,2.41,0.12244,0.00553,0.0002404,1.03e-05,4e-07,0.0,0.0,0.0,5.96e-06,0.00905,0.4136,2.56,2.0
-38.72,0.4937,0.543,0.4634,0.02066,30.62,8.12,1.154,0.1436,0.01707,0.001997,0.0002315,0.0,0.0,0.0,0.0,2.13e-05,0.004967,0.1312,3.0
-31.55,0.4197,0.69,0.4978,0.013565,26.66,3.406,0.2747,0.0202,0.001445,0.00010234,7.2e-06,0.0,0.0,0.0,4.274e-05,0.02399,0.671,3.389,4.0
-41.66,0.4456,0.5825,0.2947,0.02376,22.95,16.48,6.684,2.402,0.831,0.283,0.0957,0.0,0.0,0.0,0.0,6e-08,1.47e-05,0.000785,0.0
-30.97,0.4036,0.6016,0.4878,0.02795,25.84,2.156,0.1038,0.00446,0.0001847,7.5e-06,3e-07,0.0,0.0,0.0,8.9e-06,0.010796,0.4202,2.29,1.0
-43.3,0.4114,0.672,0.2076,0.02559,17.16,16.86,10.28,5.695,3.062,1.63,0.8643,0.0,0.0,0.0,0.0,0.0,1.67e-06,7.045e-05,2.0
-35.9,0.3813,0.53,0.442,0.014084,30.44,2.746,0.1302,0.005383,0.0002124,8.2e-06,3e-07,0.0,0.0,0.0,5.4e-07,0.00258,0.2406,2.404,3.0
-29.17,0.3206,0.5996,0.4036,0.01964,25.69,1.716,0.06604,0.002268,7.5e-05,2.44e-06,6e-08,0.0,0.0,0.0,2.897e-05,0.02907,0.9214,4.066,4.0
-41.03,0.4893,0.6177,0.3108,0.02988,21.12,15.64,6.81,2.654,0.9995,0.3716,0.1373,0.0,0.0,0.0,0.0,6e-08,1.31e-05,0.000572,0.0
-41.0,0.4624,0.6475,0.3372,0.01717,24.98,15.25,5.65,1.89,0.6123,0.196,0.06247,0.0,0.0,0.0,0.0,1.55e-06,0.0002892,0.00873,1.0
-27.86,0.3215,0.644,0.407,0.01906,24.94,1.892,0.08673,0.00359,0.0001438,5.7e-06,2.4e-07,0.0,0.0,0.0,7.784e-05,0.0464,1.11,4.246,2.0
-23.38,0.361,0.543,0.4966,0.00966,23.6,0.645,0.009445,0.0001211,1.5e-06,0.0,0.0,0.0,0.0,0.0,0.000123,0.1346,3.24,8.82,3.0
-38.75,0.4602,0.674,0.4324,0.007717,29.38,9.83,2.045,0.3865,0.0709,0.012886,0.002333,0.0,0.0,0.0,2e-07,0.0003333,0.02763,0.3967,4.0
-45.4,0.4893,0.6177,0.3108,0.0,24.53,21.08,10.66,4.824,2.11,0.91,0.3906,0.0,0.0,0.0,0.0,1e-07,3.21e-05,0.001628,0.0
-13.516,0.3545,0.69,0.4934,0.01528,21.31,1.034,0.03165,0.0008836,2.396e-05,6.6e-07,0.0,0.0,0.0,0.0,0.001515,0.3237,3.443,6.61,1.0
-27.86,0.3215,0.644,0.407,0.01906,24.94,1.892,0.08673,0.00359,0.0001438,5.7e-06,2.4e-07,0.0,0.0,0.0,7.784e-05,0.0464,1.11,4.246,2.0
-32.44,0.3992,0.543,0.4966,0.010254,28.38,1.709,0.05518,0.001559,4.214e-05,1.13e-06,0.0,0.0,0.0,0.0,6.8e-06,0.0164,0.8696,5.215,3.0
-28.0,0.3027,0.4731,0.4778,0.007717,14.57,0.05127,8.63e-05,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.001995,1.296,10.51,6.977,4.0
