like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-36.88,0.3357,0.498,0.4495,0.02138,24.1,0.5977,0.007416,7.915e-05,8e-07,0.0,0.0,0.0,0.0,0.0,1.54e-05,0.03882,1.522,5.55,2.094,4.63,4.05,1.879,0.3901,3.0
-60.34,0.4563,0.3557,0.3882,0.01014,37.2,11.375,1.244,0.10767,0.00856,0.000655,4.92e-05,0.0,0.0,0.0,0.0,0.0,1.025e-05,0.003056,1.395e-05,0.000944,0.03778,0.286,1.5205,4.0
-21.77,0.3406,0.357,0.4985,0.02618,17.42,0.03424,2.42e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-06,0.0643,3.318,6.188,4.285,5.02,1.269,0.1676,0.005672,0.0
-48.78,0.337,0.3232,0.4448,0.00918,28.52,0.1576,0.0002768,3.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00207,0.847,8.84,1.726,7.734,8.86,3.559,0.4424,1.0
-38.28,0.346,0.44,0.463,0.02325,24.47,0.3936,0.002836,1.71e-05,1e-07,0.0,0.0,0.0,0.0,0.0,2.6e-06,0.01889,1.229,5.414,1.795,4.47,3.906,1.659,0.2844,2.0
-54.53,0.3413,0.4285,0.4138,0.00839,32.44,1.305,0.0229,0.0003347,4.6e-06,6e-08,0.0,0.0,0.0,0.0,6e-08,0.00162,0.327,4.16,0.5845,3.371,8.14,7.633,3.457,3.0
-61.5,0.443,0.327,0.409,0.01129,40.78,7.1,0.3994,0.01732,0.0006833,2.58e-05,9.5e-07,0.0,0.0,0.0,0.0,0.0,3.946e-05,0.011955,6.664e-05,0.004436,0.1514,0.929,3.525,4.0
-40.4,0.3772,0.577,0.4873,0.02531,24.33,1.203,0.03336,0.0008197,1.93e-05,5e-07,0.0,0.0,0.0,0.0,3.237e-05,0.03464,1.024,3.902,1.325,3.14,3.498,2.156,0.6953,0.0
-54.25,0.337,0.3232,0.429,0.006935,32.12,0.2876,0.000819,1.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006084,0.404,6.84,0.883,5.82,10.81,6.39,1.287,1.0
-45.56,0.346,0.361,0.463,0.00994,26.89,0.2074,0.000582,1.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.00746,1.353,9.195,2.445,8.09,7.633,2.92,0.377,2.0
-60.0,0.433,0.385,0.3958,0.009415,37.88,8.62,0.7676,0.0553,0.003693,0.0002385,1.514e-05,0.0,0.0,0.0,0.0,6e-08,0.0001993,0.02666,0.0003016,0.01106,0.2323,1.127,3.67,3.0
-63.06,0.443,0.2937,0.4329,0.0126,43.6,4.195,0.1128,0.002256,4.05e-05,7e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.88e-05,0.02591,0.0001403,0.01065,0.3523,1.88,5.39,4.0
-47.5,0.3303,0.1978,0.4873,0.0101,12.89,0.0002146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003338,4.297,13.64,8.69,11.75,0.9966,0.026,5.805e-05,0.0
-48.78,0.337,0.3232,0.4448,0.00918,28.52,0.1576,0.0002768,3.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00207,0.847,8.84,1.726,7.734,8.86,3.559,0.4424,1.0
-56.66,0.346,0.44,0.412,0.004883,33.44,1.687,0.03812,0.000721,1.28e-05,2.4e-07,0.0,0.0,0.0,0.0,6e-08,0.001411,0.2878,3.979,0.518,3.219,8.82,9.35,5.023,2.0
-59.28,0.4307,0.4038,0.4036,0.011284,37.06,7.688,0.656,0.04584,0.002985,0.0001884,1.17e-05,0.0,0.0,0.0,0.0,3.6e-07,0.000586,0.0538,0.000891,0.02455,0.3857,1.545,4.11,3.0
-66.44,0.4385,0.2162,0.4648,0.01532,49.22,0.8784,0.002634,5.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95e-05,0.04883,0.0001291,0.02176,0.979,4.46,7.21,4.0
-22.97,0.329,0.553,0.4912,0.02512,17.3,0.2175,0.001487,8.94e-06,6e-08,0.0,0.0,0.0,0.0,0.0,0.001059,0.4402,4.316,4.992,4.473,4.047,1.295,0.2874,0.02522,0.0
-48.78,0.337,0.3232,0.4448,0.00918,28.52,0.1576,0.0002768,3.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00207,0.847,8.84,1.726,7.734,8.86,3.559,0.4424,1.0
-50.0,0.383,0.44,0.463,0.02571,29.58,1.204,0.02194,0.000335,4.8e-06,6e-08,0.0,0.0,0.0,0.0,6e-08,0.001212,0.1995,2.225,0.3157,1.652,3.654,3.26,1.413,2.0
-33.62,0.3433,0.596,0.4646,0.02676,22.0,0.8335,0.01814,0.0003517,6.56e-06,1e-07,0.0,0.0,0.0,0.0,0.0001566,0.09375,1.741,4.457,2.094,3.635,2.832,1.336,0.3137,3.0
-66.75,0.4648,0.2162,0.4648,0.01532,50.25,1.829,0.011185,4.48e-05,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-06,0.007076,8.17e-06,0.002441,0.224,1.805,5.953,4.0
-21.44,0.3276,0.562,0.4873,0.02461,17.53,0.2429,0.001852,1.246e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.001134,0.44,4.285,5.09,4.47,4.145,1.394,0.3245,0.03055,0.0
-58.0,0.337,0.3232,0.4065,0.00918,35.97,0.606,0.003248,1.335e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.993e-05,0.09985,3.18,0.2253,2.463,8.61,8.44,3.197,1.0
-37.16,0.3396,0.1669,0.463,0.02325,20.53,0.0004973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.1969,8.234,0.72,6.824,3.887,0.341,0.0026,2.0
-36.38,0.341,0.672,0.4495,0.014915,23.67,1.555,0.0635,0.002354,8.47e-05,3.04e-06,1e-07,0.0,0.0,0.0,0.0003502,0.1256,2.07,5.89,2.613,5.055,5.016,3.059,1.048,3.0
-59.6,0.4648,0.3726,0.4648,0.01532,38.28,4.688,0.2166,0.00802,0.0002744,9.06e-06,3e-07,0.0,0.0,0.0,0.0,6.6e-07,0.001385,0.1222,0.002386,0.06204,0.807,2.594,4.918,4.0
-20.38,0.3303,0.4058,0.485,0.02594,17.69,0.0667,0.00010407,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.41e-05,0.11993,3.6,5.832,4.336,4.73,1.324,0.2123,0.010155,0.0
-63.62,0.3462,0.1091,0.4233,0.00918,41.28,0.0003095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11e-05,0.703,0.0004518,0.4421,13.83,10.445,0.4426,1.0
-49.5,0.3806,0.4578,0.463,0.02284,29.3,1.28,0.02599,0.0004456,7.2e-06,1e-07,0.0,0.0,0.0,0.0,2e-07,0.002125,0.2744,2.666,0.4287,2.031,4.17,3.615,1.552,2.0
-27.64,0.3352,0.658,0.4832,0.029,18.58,0.569,0.01068,0.0001816,3e-06,6e-08,0.0,0.0,0.0,0.0,0.001746,0.3474,2.98,4.25,3.094,3.432,1.669,0.5693,0.0935,3.0
-53.4,0.4604,0.536,0.485,0.02109,30.81,4.723,0.384,0.02727,0.001851,0.0001233,8.17e-06,0.0,0.0,0.0,6e-08,0.0002656,0.03894,0.6284,0.05414,0.4004,1.717,2.979,3.357,4.0
