like1,like2,like3,like4,like5,like6,like7,like8,like9,like10,like11,like12,like13,like14,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
44.97,0.1733,0.00792,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.336,0.1115,0.322,0.0289,64.1,0.3586,5.52e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,1.0
30.86,2.275,0.002922,0.00011665,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3855,0.1163,0.3274,0.02962,50.06,2.807,0.00505,3.93e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16.27,8.34,0.0741,0.0002202,3.6e-07,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.435,0.1211,0.333,0.02966,35.47,8.875,0.0821,0.0003407,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.812,16.62,0.4888,0.006542,6.49e-05,5.4e-07,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4846,0.1259,0.3386,0.02895,25.02,17.16,0.4966,0.006664,6.634e-05,6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.43,11.92,0.2257,0.001974,1.27e-05,6e-08,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4658,0.1307,0.3442,0.02823,31.62,12.45,0.2336,0.002094,1.41e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.08,3.79,0.01308,7.015e-05,1.3e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4163,0.1355,0.3499,0.02751,47.28,4.32,0.02104,5.04e-05,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.25,0.1814,0.007458,0.00012034,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3665,0.1403,0.3555,0.02678,58.44,0.7134,0.000516,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985e-05,1.0
30.02,0.5005,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.305,0.317,0.1451,0.361,0.02606,49.22,0.0316,1.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03e-06,0.06445,1.0
33.4,0.448,0.007965,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.348,0.3325,0.1499,0.3667,0.02534,52.6,0.08405,9.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-06,0.02039,1.0
37.22,0.4067,0.006752,0.0001197,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3823,0.1547,0.3723,0.02463,56.4,0.939,0.00122,8.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6e-05,1.0
30.42,3.344,0.01767,2.694e-05,1.13e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.432,0.1594,0.378,0.02391,49.62,3.875,0.02563,9.364e-05,3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-07,1.0
21.27,8.625,0.1813,0.00208,1.913e-05,2e-07,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4814,0.1643,0.3835,0.0232,40.47,9.16,0.1893,0.002203,2.05e-05,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25.06,6.414,0.0992,0.000826,5.36e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.469,0.1691,0.3892,0.02246,44.25,6.95,0.1072,0.0009465,6.74e-06,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,1.0
33.75,1.564,0.0007615,9.936e-05,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4194,0.1738,0.3948,0.02174,52.94,2.098,0.008736,2.12e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87e-05,1.0
32.03,0.2357,0.00778,0.00012046,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.34,0.3699,0.1787,0.4004,0.02103,51.22,0.2964,0.0001924,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8e-06,0.03073,1.0
