like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-18.1,0.3218,0.3486,0.4634,0.02289,19.05,0.04276,3.356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-06,0.03885,2.9,7.227,6.535,2.154,0.156,0.0042,5.51e-05,0.0
-21.97,0.3115,0.363,0.444,0.02014,20.33,0.067,8.094e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,0.03818,2.795,7.82,7.32,2.848,0.2668,0.00967,0.0001757,1.0
-61.44,0.423,0.3796,0.2644,0.01845,23.48,21.73,7.746,2.225,0.5913,0.1519,0.03833,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,7.6e-06,0.0002335,0.00538,0.04996,0.2397,2.0
-43.94,0.3215,0.658,0.388,0.01894,26.1,2.736,0.1759,0.01024,0.000578,3.225e-05,1.8e-06,0.0,0.0,0.0,3.225e-05,0.02194,0.644,3.143,3.717,5.008,3.785,1.698,0.522,3.0
-57.75,0.48,0.4624,0.4456,0.01477,34.0,8.39,0.971,0.09515,0.008804,0.0007944,7.087e-05,0.0,0.0,0.0,0.0,2.1e-06,0.00141,0.0736,0.1312,0.777,2.826,4.883,4.91,4.0
-18.1,0.3218,0.3486,0.4634,0.02289,19.05,0.04276,3.356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-06,0.03885,2.9,7.227,6.535,2.154,0.156,0.0042,5.51e-05,0.0
-55.7,0.3267,0.363,0.3752,0.02014,35.1,1.338,0.01869,0.000208,2.15e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.31e-05,0.03653,1.182,1.806,4.98,5.4,2.264,0.4756,1.0
-66.7,0.423,0.3796,0.1671,0.01845,11.19,22.39,17.27,10.734,6.176,3.432,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,1.5e-06,2.99e-05,0.0003107,2.0
-48.8,0.38,0.658,0.413,0.02336,27.27,4.688,0.4946,0.04724,0.00437,0.0004003,3.654e-05,0.0,0.0,0.0,2.56e-06,0.002874,0.1384,1.108,1.446,2.895,3.588,2.643,1.332,3.0
-21.42,0.3013,0.4763,0.4456,0.01209,18.81,0.1486,0.000565,1.85e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002592,0.3472,5.992,8.625,7.54,2.629,0.2852,0.01502,0.0004683,4.0
-27.03,0.3306,0.2534,0.462,0.02966,19.83,0.009346,9.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001372,0.9814,6.484,6.402,2.297,0.1158,0.001492,7.15e-06,0.0
-44.25,0.3113,0.6235,0.3804,0.0168,26.61,2.361,0.1241,0.00585,0.0002666,1.2e-05,5.4e-07,0.0,0.0,0.0,2.36e-05,0.02185,0.7324,3.69,4.355,5.695,4.004,1.622,0.4407,1.0
-65.2,0.423,0.1301,0.2644,0.0224,16.17,29.3,2.494,0.10114,0.003077,8.136e-05,1.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7e-06,0.001205,2.0
-43.75,0.3127,0.6465,0.3892,0.01217,26.3,2.299,0.12177,0.00582,0.0002697,1.234e-05,5.4e-07,0.0,0.0,0.0,6.247e-05,0.04163,1.127,4.906,5.652,6.816,4.434,1.695,0.441,3.0
-46.03,0.3013,0.159,0.4456,0.01958,9.39,1.03e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004187,2.768,10.43,7.297,0.3691,0.000582,1e-07,0.0,4.0
-58.44,0.4246,0.267,0.3108,0.02824,30.31,15.71,1.978,0.1787,0.014275,0.001077,7.874e-05,0.0,0.0,0.0,0.0,0.0,0.0,9e-07,3.2e-06,0.0002453,0.01084,0.1315,0.623,0.0
-21.97,0.3115,0.363,0.444,0.02014,20.33,0.067,8.094e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,0.03818,2.795,7.82,7.32,2.848,0.2668,0.00967,0.0001757,1.0
-61.28,0.423,0.3796,0.2673,0.01845,23.88,21.48,7.45,2.082,0.5386,0.1345,0.03305,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-06,9.7e-06,0.0002904,0.006508,0.0588,0.2744,2.0
-57.0,0.4995,0.6465,0.3892,0.01217,26.88,14.53,4.758,1.407,0.403,0.114,0.03214,0.0,0.0,0.0,0.0,5.7e-06,0.0009575,0.02577,0.04276,0.2216,0.891,2.107,3.389,3.0
-38.44,0.3088,0.4763,0.4268,0.00943,23.78,0.3975,0.003197,2.193e-05,1e-07,0.0,0.0,0.0,0.0,0.0,3.034e-05,0.08594,3.137,9.54,9.695,6.152,1.412,0.1573,0.01037,4.0
-48.56,0.371,0.573,0.4338,0.01761,28.67,2.8,0.1528,0.007366,0.0003412,1.556e-05,7e-07,0.0,0.0,0.0,2.26e-06,0.00517,0.3147,2.436,3.09,5.2,4.707,2.34,0.7524,0.0
-64.5,0.4568,0.363,0.2317,0.02014,16.4,24.2,13.086,5.633,2.232,0.8525,0.3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,1.67e-06,6.97e-05,0.00113,0.009186,1.0
